"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 8 7 6 5 3 2 1 0 1 2 3 4 5 8 9 10 11 12 13 14 15 16 17 18 18 17 16 15 14 15 14 11 10 9 8 7 6 5 3 0 0 0 0 0 0 1 2 3 4 5 6 14 9 10 11 12 13 16 15 14 13 12 11 NA NA NA NA NA NA
NA 7 6 5 4 3 2 1 0 2 3 4 5 6 7 8 11 12 13 14 15 16 17 7 6 6 6 17 5 10 9 8 12 11 10 9 8 7 6 1 0 1 2 1 2 0 1 2 3 4 5 6 7 8 11 12 13 14 17 16 15 14 NA NA NA NA NA NA NA NA
NA 6 5 4 3 2 1 0 0 3 4 5 6 7 8 9 12 13 14 15 16 17 7 6 5 5 5 6 4 7 8 7 8 9 11 10 9 4 3 2 1 2 3 2 3 0 1 3 4 5 6 7 8 9 10 11 12 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 7 6 5 4 3 2 0 1 4 5 6 7 8 9 10 11 14 15 16 17 4 4 5 4 4 4 5 3 6 7 6 7 8 9 7 6 5 4 3 2 3 4 5 4 0 1 2 3 4 5 8 9 10 11 12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 8 7 6 5 2 1 0 0 1 2 3 4 5 6 7 8 9 6 5 4 3 3 4 3 3 3 4 2 5 4 5 6 7 8 8 7 6 5 4 3 4 5 6 7 1 2 3 4 5 6 7 8 11 12 13 14 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 9 8 7 4 3 2 1 0 0 1 2 3 4 6 7 8 9 5 4 3 2 2 2 2 2 2 2 1 2 3 4 5 6 7 9 8 7 6 5 4 5 6 7 8 9 3 4 5 6 7 8 9 10 13 14 15 NA NA NA NA NA NA NA NA NA NA NA NA NA
NA 10 9 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 4 2 2 1 1 1 1 1 1 1 0 1 2 3 4 5 6 7 9 8 7 6 5 6 7 8 9 10 4 5 6 7 8 9 10 11 14 15 16 15 14 13 12 11 10 9 8 NA NA NA NA NA
NA 11 10 7 6 5 4 2 1 0 0 1 2 3 4 5 6 4 3 1 1 0 0 0 0 0 0 0 0 1 2 4 5 6 7 8 10 9 8 7 6 7 8 9 10 11 5 6 7 8 9 10 11 12 12 13 17 13 12 11 10 9 9 8 7 6 NA NA NA NA
NA NA 11 6 5 4 3 3 1 0 0 0 1 2 3 4 5 3 2 0 0 0 1 2 1 1 1 1 1 2 3 4 6 7 8 9 11 10 9 8 7 8 9 10 11 12 6 7 8 9 10 11 11 10 11 12 13 12 11 10 9 8 8 7 6 5 4 3 NA NA
NA NA 12 5 4 3 2 1 0 0 1 0 0 0 1 2 2 2 1 0 1 2 3 4 2 2 2 2 2 3 4 5 7 8 9 10 11 11 10 9 10 9 10 11 12 13 7 8 9 10 11 11 10 9 10 11 12 11 10 9 8 7 7 6 5 4 3 2 NA NA
NA NA 6 5 4 3 2 1 0 1 2 1 1 0 1 2 1 1 0 0 1 3 4 5 6 4 3 3 3 4 5 6 8 9 10 11 12 13 11 10 11 10 11 12 13 14 8 9 10 11 12 10 9 8 9 10 11 10 9 8 7 6 5 4 3 3 2 1 NA NA
NA 8 7 6 5 4 3 2 1 2 3 2 2 0 0 0 0 0 0 1 2 4 5 6 7 5 4 4 4 5 6 7 8 9 11 12 13 14 12 11 14 13 12 13 14 15 9 10 11 12 8 7 6 7 8 9 10 11 8 7 6 5 4 3 2 1 0 0 0 0
NA NA 8 7 6 5 4 3 2 3 4 4 3 1 1 2 0 0 1 1 2 3 4 5 6 6 8 5 5 6 7 8 9 10 11 12 13 8 9 10 11 14 13 14 15 16 10 11 12 8 7 6 5 6 7 8 9 10 9 8 7 6 5 4 3 2 1 NA NA NA
NA NA NA 8 7 6 5 4 3 4 5 5 4 2 2 3 1 0 0 0 1 2 3 4 5 6 7 8 9 7 8 9 10 11 4 5 6 7 8 9 10 11 12 13 14 15 16 17 8 7 6 5 4 5 6 7 8 9 10 9 8 7 6 5 4 3 NA NA NA NA
NA NA NA 9 8 7 6 5 4 5 6 5 4 3 3 3 2 1 1 0 0 1 2 3 4 5 6 7 8 9 6 6 4 4 3 4 5 6 7 8 9 10 11 14 15 16 13 14 10 6 5 4 3 4 5 6 7 8 16 15 9 8 7 6 5 4 NA NA NA NA
NA NA NA 10 9 8 7 6 7 6 7 6 5 4 5 4 3 2 2 1 0 0 1 2 3 4 5 5 6 4 5 5 3 3 2 3 4 5 6 7 8 9 10 15 16 17 12 13 9 8 7 3 2 3 4 5 6 7 15 14 13 9 8 7 6 5 NA NA NA NA
NA NA NA NA 10 9 8 7 8 9 10 7 6 5 6 6 5 4 3 2 1 0 2 3 2 2 3 4 5 3 3 4 2 2 1 2 3 4 5 6 7 8 9 8 9 10 11 12 8 7 6 5 1 2 3 4 5 15 14 13 12 13 10 NA NA NA NA NA NA NA
NA NA NA NA 11 10 9 10 9 10 11 8 7 6 7 7 6 5 4 3 1 0 0 0 1 1 2 3 2 2 2 3 1 1 0 1 2 3 6 7 8 9 8 7 8 9 10 11 7 6 5 4 0 1 2 5 10 14 13 12 11 12 9 10 NA NA NA NA NA NA
NA NA NA NA NA 11 10 11 10 11 12 13 14 7 8 8 7 6 5 4 2 1 1 0 0 0 1 2 1 1 1 1 0 0 0 1 3 4 7 8 9 8 7 6 7 8 9 10 6 5 4 3 0 6 7 8 9 13 12 11 10 11 8 9 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA 13 NA NA 10 10 11 8 7 6 4 3 2 2 1 1 0 0 1 0 0 0 0 0 1 2 3 4 5 6 7 8 7 6 5 6 7 8 9 10 4 3 2 0 5 6 7 8 9 11 10 9 8 7 8 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 9 9 10 11 12 13 14 4 3 4 3 2 1 0 0 0 1 2 1 2 2 3 4 5 6 7 6 7 5 5 4 5 6 7 8 9 10 2 1 0 4 5 6 7 9 10 9 8 7 6 5 4 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 8 8 9 10 11 12 8 7 6 5 4 3 2 1 0 0 0 1 2 4 3 4 5 6 7 8 5 6 4 4 3 4 5 6 7 8 11 NA 1 0 3 5 6 7 8 9 8 7 6 5 4 3 5 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 7 7 8 9 10 11 12 8 7 6 5 4 3 2 1 1 0 1 2 3 4 5 6 4 4 4 4 5 3 3 2 3 4 5 8 NA NA NA 1 0 2 4 5 6 7 8 7 6 5 4 3 2 4 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 6 6 7 8 9 10 11 12 8 7 6 5 5 4 3 2 0 0 1 3 4 3 3 3 3 3 3 4 2 1 1 2 3 4 NA NA NA NA 1 0 1 3 4 5 6 7 6 5 4 3 2 1 3 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 5 5 6 7 8 9 10 11 12 13 7 6 6 5 4 2 1 0 1 2 3 2 2 2 2 2 2 3 1 0 0 1 2 NA NA NA NA NA 1 0 0 2 3 4 NA NA NA 6 3 2 1 0 2 5 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 4 4 5 6 7 8 9 10 13 14 15 8 7 6 5 3 2 0 0 1 1 1 1 1 1 1 1 2 0 0 1 2 NA NA NA NA NA NA NA 1 0 1 2 3 NA NA NA 4 3 2 1 0 1 4 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 3 3 4 5 6 7 8 9 NA NA NA NA 8 7 4 3 2 1 0 0 0 0 0 0 0 0 0 0 0 1 2 NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA 3 2 1 0 0 3 NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 2 2 3 4 5 6 7 NA NA NA NA NA NA 6 5 4 3 2 1 1 1 1 1 2 1 2 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 0 NA NA NA NA NA NA NA NA 3 2 1 0 2 NA NA NA
