"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA NA NA 9 9 9 9 9 9 9 9 14 14 14 15 18 18 18 19 20 21 21 22 22 22 22 22 22 22 22 30 31 33 35 35 35 35 35 35 35 35 35 35 35 35 35 44 44 53 53 53 53 53 53 53 53 53 53 65 65 67 67 67 67 67 67 NA NA NA NA
NA NA NA 9 9 9 9 9 9 9 9 14 14 14 14 18 18 18 19 20 21 22 22 22 22 22 22 26 26 30 30 31 33 34 35 35 35 35 35 35 35 35 35 35 35 35 44 44 53 53 53 53 53 53 53 53 53 53 65 65 65 67 67 67 67 67 NA NA NA NA
NA NA NA NA 9 9 9 9 9 9 9 14 14 14 14 19 19 19 19 20 21 22 22 22 24 26 26 26 26 30 31 31 33 34 35 35 35 35 35 35 35 35 35 44 44 44 44 44 53 53 53 53 53 53 53 53 53 65 65 65 65 65 65 NA NA NA NA NA NA NA
NA NA NA NA 9 9 9 9 9 9 9 14 14 14 14 19 19 19 19 20 22 22 23 24 24 26 26 26 29 30 31 31 33 34 35 35 35 35 35 35 35 35 44 44 44 44 44 44 53 53 53 53 53 53 53 53 54 65 65 65 65 65 65 65 NA NA NA NA NA NA
NA NA NA NA NA 9 9 9 9 9 9 9 9 14 14 19 19 19 19 20 22 22 23 24 25 26 26 26 29 30 31 32 33 34 35 35 35 35 35 35 35 44 44 44 44 44 44 44 53 53 53 53 53 54 54 54 54 65 65 65 65 65 65 65 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA 9 NA NA 14 15 15 19 19 19 22 22 22 23 24 25 26 27 27 29 30 31 32 33 33 33 33 33 33 33 33 44 44 44 44 44 44 44 44 44 53 53 53 53 54 54 54 54 54 65 65 65 65 65 65 NA NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 14 15 15 15 15 15 15 22 22 25 25 25 26 27 28 29 30 30 32 32 33 33 33 33 33 33 40 40 42 44 44 44 44 44 44 44 44 53 53 53 54 54 54 54 54 65 65 65 65 65 65 65 NA NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 14 15 15 15 15 15 25 25 25 25 25 25 26 27 28 29 30 30 30 30 33 33 33 33 33 33 40 40 42 44 44 44 44 44 44 44 44 NA 53 53 54 54 54 54 54 65 65 65 65 65 65 65 66 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 14 15 15 15 15 15 15 25 25 25 25 25 26 27 28 29 30 30 30 30 30 30 33 37 38 39 40 40 42 44 44 44 44 44 44 NA NA NA 53 53 54 54 54 54 54 65 65 65 65 65 65 65 66 NA NA NA NA
NA NA NA NA NA NA NA NA NA NA NA NA NA 14 15 15 15 15 15 15 15 25 25 25 25 29 29 29 29 30 31 31 31 31 35 36 37 38 39 40 40 42 43 44 44 44 44 NA NA NA NA 53 53 54 54 54 54 54 65 65 65 65 65 65 65 66 NA NA NA NA
